request_id,request_name,stakeholder,platform_area,request_type,business_goal,triage_lane,business_value,customer_impact,urgency,delivery_effort,dependency_risk,qa_complexity,privacy_complexity,confidence,omnichannel_fit,acceptance_readiness,vendor_dependency,data_dependency,edge_cases,qa_focus
MCR-101,Loyalty wallet with QR redemption,CRM,Loyalty,Enhancement,Let app shoppers earn and redeem rewards across app and store visits.,Discovery,94,91,88,34,82,76,69,74,97,61,"Tapcart blocks, loyalty provider, POS customer lookup","Unified customer id, points balance, redemption ledger","Expired rewards, split tender, offline store scan, duplicate wallet pass","Reward balance accuracy, QR scan failure states, store associate lookup"
MCR-102,Guest checkout payment failure recovery,Ecommerce,Checkout,Issue,Reduce abandoned checkout when payment authorization fails.,Actionable,91,86,93,18,38,58,41,86,53,88,Payment gateway and checkout SDK,"Payment error reason, cart state, retry event","Card decline, address mismatch, wallet timeout, duplicate order prevention","Retry path, saved cart persistence, analytics event continuity"
MCR-103,Personalized occasion shop modules,Merchandising,Personalization,New capability,"Tailor mobile collections by upcoming occasion, size preference, and browsing behavior.",Discovery,89,84,70,30,66,63,72,67,74,58,Tapcart conditional content and recommendation feed,"Customer segments, product tags, browsing consent, inventory feed","Cold start, no size history, out of stock recommendations, consent opt out","Segment rules, fallback modules, inventory suppression"
MCR-104,Wishlist contest enrollment,Marketing,Wishlist,Enhancement,Convert wishlist creation into a measurable weekly engagement loop.,Actionable,76,78,72,16,34,42,47,82,49,91,Tapcart wishlist event and marketing automation,"Wishlist id, weekly eligibility flag, notification opt in","Duplicate entries, deleted wishlist, underage account, opt out status","Eligibility logic, event dedupe, notification trigger"
MCR-105,Store associate clienteling notes,Stores,Clienteling,New capability,Give associates useful app and order context for high-intent store visits.,Discovery,83,82,61,38,88,81,86,54,95,44,"Clienteling partner, POS profile, Tapcart account surface","Customer profile, consent flag, recent orders, store visit context","Shared devices, associate role access, customer deletion request, stale notes","Permissioning, profile match accuracy, data retention rules"
MCR-106,Push campaign quiet hours,Marketing,Messaging,Enhancement,Protect app retention by enforcing send windows and frequency limits.,Actionable,74,80,68,12,24,33,31,90,42,95,Push messaging provider,"Time zone, opt in status, campaign send log","Traveling users, daylight saving time, campaign override, transactional push","Suppression logic, local time conversion, override audit"
MCR-107,Order tracking account refresh,Customer Care,Account,Issue,Reduce support contacts by making app order status easier to trust.,Actionable,82,88,84,22,46,54,43,81,64,83,Order management API and Tapcart account surface,"Order id, fulfillment status, shipment tracking, return status","Split shipments, canceled line item, guest order claim, delayed carrier update","Status mapping, empty states, support deflection events"
MCR-108,In-store app install QR attribution,Stores,Omnichannel,Measurement,Attribute app installs and first purchases to store QR placements.,Blocked,77,58,66,24,79,61,64,48,93,39,"QR provider, analytics SDK, app store attribution","Store id, QR campaign id, install event, first purchase event","App already installed, delayed install, shared QR, privacy restricted attribution","Campaign mapping, duplicate install handling, reporting latency"
MCR-109,Product detail size confidence prompt,Merchandising,Product Detail,Enhancement,Reduce fit hesitation on occasionwear product detail pages.,Actionable,79,83,73,20,36,45,38,78,57,84,Size guide content feed and Tapcart product block,"Product category, size chart, return reason labels","One size items, missing chart, international size labels, final sale messaging","Category mapping, fallback content, accessibility labels"
MCR-110,Returns eligibility self-service,Customer Care,Post Purchase,New capability,Let customers confirm return eligibility before contacting support.,Discovery,81,85,63,29,71,72,51,62,67,53,Returns platform and order management API,"Order line, return window, final sale flag, store purchase flag","Gift returns, store purchase lookup, partial return, final sale override","Eligibility rules, message clarity, support handoff"
MCR-111,App inbox launch calendar,Brand Marketing,Messaging,Enhancement,Coordinate collection launch stories without overloading push notifications.,Monitor,68,66,55,18,41,37,33,72,39,76,Tapcart inbox or marketing suite,"Launch date, segment, message priority, expiration date","Expired content, overlapping launches, customer segment exclusion","Message priority, expiration behavior, deep link routing"
MCR-112,Store pickup promise visibility,Operations,Fulfillment,Enhancement,Show customers realistic store pickup timing before checkout.,Blocked,87,89,76,35,90,78,39,46,96,36,"Inventory availability service, POS, Tapcart checkout configuration","Store inventory, pickup capacity, cutoff time, reservation state","Inventory mismatch, store closed, cart with mixed fulfillment, reservation expiry","Availability latency, cutoff logic, checkout handoff"
