entity_id,entity_name,segment,owner
PRO001,Product request 1,Growth,Operations
PRO002,Product request 2,Strategic,Product
PRO003,Product request 3,Watch,Analytics
PRO004,Product request 4,Strategic,Analytics
PRO005,Product request 5,Watch,Analytics
PRO006,Product request 6,Growth,Customer
PRO007,Product request 7,Growth,Revenue
PRO008,Product request 8,Core,Operations
PRO009,Product request 9,Watch,Customer
PRO010,Product request 10,Growth,Revenue
PRO011,Product request 11,Core,Product
PRO012,Product request 12,Core,Revenue
PRO013,Product request 13,Strategic,Analytics
PRO014,Product request 14,Core,Revenue
PRO015,Product request 15,Watch,Revenue
PRO016,Product request 16,Watch,Revenue
PRO017,Product request 17,Core,Operations
PRO018,Product request 18,Strategic,Revenue
PRO019,Product request 19,Core,Operations
PRO020,Product request 20,Strategic,Customer
PRO021,Product request 21,Core,Customer
PRO022,Product request 22,Watch,Revenue
PRO023,Product request 23,Growth,Product
PRO024,Product request 24,Strategic,Product
PRO025,Product request 25,Watch,Product
PRO026,Product request 26,Growth,Customer
PRO027,Product request 27,Strategic,Customer
PRO028,Product request 28,Growth,Product
PRO029,Product request 29,Growth,Operations
PRO030,Product request 30,Core,Customer
PRO031,Product request 31,Core,Revenue
PRO032,Product request 32,Watch,Customer
PRO033,Product request 33,Growth,Operations
PRO034,Product request 34,Core,Customer
PRO035,Product request 35,Watch,Operations
PRO036,Product request 36,Strategic,Analytics
