rank,request_id,request_name,platform_area,stakeholder,triage_lane,priority_score,business_value,customer_impact,urgency,delivery_effort,dependency_risk,confidence,acceptance_readiness,recommended_next_step
1,MCR-102,Guest checkout payment failure recovery,Checkout,Ecommerce,Actionable,76.4,91,86,93,18,38,86,88,Groom with delivery lead and confirm release slice
2,MCR-107,Order tracking account refresh,Account,Customer Care,Actionable,72.2,82,88,84,22,46,81,83,Groom with delivery lead and confirm release slice
3,MCR-106,Push campaign quiet hours,Messaging,Marketing,Actionable,70.9,74,80,68,12,24,90,95,Groom with delivery lead and confirm release slice
4,MCR-101,Loyalty wallet with QR redemption,Loyalty,CRM,Discovery,70.5,94,91,88,34,82,74,61,Draft strawman PRD and validate assumptions with stakeholder
5,MCR-109,Product detail size confidence prompt,Product Detail,Merchandising,Actionable,69.9,79,83,73,20,36,78,84,Groom with delivery lead and confirm release slice
6,MCR-104,Wishlist contest enrollment,Wishlist,Marketing,Actionable,68.3,76,78,72,16,34,82,91,Groom with delivery lead and confirm release slice
7,MCR-103,Personalized occasion shop modules,Personalization,Merchandising,Discovery,64.8,89,84,70,30,66,67,58,Draft strawman PRD and validate assumptions with stakeholder
8,MCR-112,Store pickup promise visibility,Fulfillment,Operations,Blocked,62.8,87,89,76,35,90,46,36,Resolve integration owner and data contract before sprint grooming
9,MCR-110,Returns eligibility self-service,Post Purchase,Customer Care,Discovery,60.3,81,85,63,29,71,62,53,Draft strawman PRD and validate assumptions with stakeholder
10,MCR-111,App inbox launch calendar,Messaging,Brand Marketing,Monitor,58.4,68,66,55,18,41,72,76,Keep in operating review and watch signal movement
11,MCR-105,Store associate clienteling notes,Clienteling,Stores,Discovery,56.4,83,82,61,38,88,54,44,Draft strawman PRD and validate assumptions with stakeholder
12,MCR-108,In-store app install QR attribution,Omnichannel,Stores,Blocked,55.4,77,58,66,24,79,48,39,Resolve integration owner and data contract before sprint grooming
